kraj,st_prebivalstva
000506,10.2016,00:00-00:59,PONEDELJEK,PU MURSKA SOBOTA,NE,KZ15/249+/1// - DAVČNA ZATAJITEV,KD ZOPER GOSPODARSTVO,GOSPODARSKA, , ,NE,DAVKA NA DODANO VREDNOST - O,,,206-OBRAČUNSKI LISTI,,,,MURSKA SOBOTA,"NASTANITVENI PROSTOR Z NEPOSREDNO OKOLICO (DVORIŠČE, VRT IPD.)",2019,OVADBA,000506001,ŽRTEV,PRAVNA OSEBA,PRAVNA OSEBA,SLOVENSKO,,NN,NN,NE,10.000 - 100.000 EUR
000506,10.2016,00:00-00:59,PONEDELJEK,PU MURSKA SOBOTA,NE,KZ15/249+/1// - DAVČNA ZATAJITEV,KD ZOPER GOSPODARSTVO,GOSPODARSKA, , ,NE,DAVKA NA DODANO VREDNOST - O,,,206-OBRAČUNSKI LISTI,,,,MURSKA SOBOTA,"NASTANITVENI PROSTOR Z NEPOSREDNO OKOLICO (DVORIŠČE, VRT IPD.)",2019,OVADBA,000506002,OSTALO,PRAVNA OSEBA,PRAVNA OSEBA,SLOVENSKO,,NN,NN,NE,BREZ
000506,10.2016,00:00-00:59,PONEDELJEK,PU MURSKA SOBOTA,NE,KZ15/249+/1// - DAVČNA ZATAJITEV,KD ZOPER GOSPODARSTVO,GOSPODARSKA, , ,NE,DAVKA NA DODANO VREDNOST - O,,,206-OBRAČUNSKI LISTI,,,,MURSKA SOBOTA,"NASTANITVENI PROSTOR Z NEPOSREDNO OKOLICO (DVORIŠČE, VRT IPD.)",2019,OVADBA,000506003,OVADENI OSUMLJENEC,NAD 64,MOŠKI,SLOVENSKO,,NE,NE,NE,BREZ
000581,11.2014,15:00-15:59,NEDELJA,PU MURSKA SOBOTA,NE,KZ12/240*/2// - ZLORABA POLOŽAJA ALI ZAUPANJA PRI GOSPODARSKI DEJAVNOSTI,KD ZOPER GOSPODARSTVO,GOSPODARSKA, , ,NE,PRIDOBITEV PREMOŽENJSKE KORISTI - O,,,048-DENAR,,,,MURSKA SOBOTA,UPRAVNO-ADMINISTRATIVNI PROSTOR PODJETJA ALI DRUGE ORGANIZACIJE,2019,OVADBA,000581001,OVADENI OSUMLJENEC,NAD 64,MOŠKI,SLOVENSKO,,NE,NE,NE,BREZ
000581,11.2014,15:00-15:59,NEDELJA,PU MURSKA SOBOTA,NE,KZ12/240*/2// - ZLORABA POLOŽAJA ALI ZAUPANJA PRI GOSPODARSKI DEJAVNOSTI,KD ZOPER GOSPODARSTVO,GOSPODARSKA, , ,NE,PRIDOBITEV PREMOŽENJSKE KORISTI - O,,,048-DENAR,,,,MURSKA SOBOTA,UPRAVNO-ADMINISTRATIVNI PROSTOR PODJETJA ALI DRUGE ORGANIZACIJE,2019,OVADBA,000581002,ŽRTEV,PRAVNA OSEBA,PRAVNA OSEBA,SLOVENSKO,,NN,NN,NE,NAD 500.000 EUR
000581,11.2014,15:00-15:59,NEDELJA,PU MURSKA SOBOTA,NE,KZ12/240*/2// - ZLORABA POLOŽAJA ALI ZAUPANJA PRI GOSPODARSKI DEJAVNOSTI,KD ZOPER GOSPODARSTVO,GOSPODARSKA, , ,NE,PRIDOBITEV PREMOŽENJSKE KORISTI - O,,,048-DENAR,,,,MURSKA SOBOTA,UPRAVNO-ADMINISTRATIVNI PROSTOR PODJETJA ALI DRUGE ORGANIZACIJE,2019,OVADBA,000581003,OVADENI OSUMLJENEC,34-44,MOŠKI,SLOVENSKO,,NE,NE,NE,BREZ
000581,11.2014,15:00-15:59,NEDELJA,PU MURSKA SOBOTA,NE,KZ12/240*/2// - ZLORABA POLOŽAJA ALI ZAUPANJA PRI GOSPODARSKI DEJAVNOSTI,KD ZOPER GOSPODARSTVO,GOSPODARSKA, , ,NE,PRIDOBITEV PREMOŽENJSKE KORISTI - O,,,048-DENAR,,,,MURSKA SOBOTA,UPRAVNO-ADMINISTRATIVNI PROSTOR PODJETJA ALI DRUGE ORGANIZACIJE,2019,OVADBA,000581004,OVADENI OSUMLJENEC,34-44,ŽENSKI,SLOVENSKO,,NE,NE,NE,BREZ
000677,11.2017,09:00-09:59,ČETRTEK,PU MURSKA SOBOTA,NE,KZ12/203*/2// - ZLORABA PRAVIC IZ SOCIALNEGA ZAVAROVANJA,KD ZOPER DELOVNO RAZMERJE IN SOCIALNO VARSTVO,GOSPODARSKA, , ,NE,Z LAŽNO IZJAVO - O,,,152-LISTINE,,,,MURSKA SOBOTA,"NASTANITVENI PROSTOR Z NEPOSREDNO OKOLICO (DVORIŠČE, VRT IPD.)",2019,OVADBA,000677001,ŽRTEV,PRAVNA OSEBA,PRAVNA OSEBA,SLOVENSKO,,NN,NN,NE,1.000 - 10.000 EUR
000677,11.2017,09:00-09:59,ČETRTEK,PU MURSKA SOBOTA,NE,KZ12/203*/2// - ZLORABA PRAVIC IZ SOCIALNEGA ZAVAROVANJA,KD ZOPER DELOVNO RAZMERJE IN SOCIALNO VARSTVO,GOSPODARSKA, , ,NE,Z LAŽNO IZJAVO - O,,,152-LISTINE,,,,MURSKA SOBOTA,"NASTANITVENI PROSTOR Z NEPOSREDNO OKOLICO (DVORIŠČE, VRT IPD.)",2019,OVADBA,000677002,OSTALO,34-44,ŽENSKI,SLOVENSKO,,NE,NE,NE,BREZ
000750,04.2016,00:00-00:59,SREDA,PU MURSKA SOBOTA,NE,KZ12/257*/1// - ZLORABA URADNEGA POLOŽAJA ALI URADNIH PRAVIC,"KD ZOPER URADNO DOLŽNOST, JAVNA POOBLASTILA IN JAVNA SREDSTVA",GOSPODARSKA, , ,NE,Z IZRABO URADNEGA POLOŽAJA - O,,,199-NI PREDMETA,,,,MURSKA SOBOTA,"PROSTOR DRŽ. USTANOVE, ORGANA LOKALNE SKUP., POLIT. ALI INTERES. ORG.",2019,OVADBA,000750001,OSTALO,54-64,MOŠKI,SLOVENSKO,,NE,NE,NE,BREZ
